ProlificID,StartDate,EndDate,Status,IPAddress,Progress,Duration..in.seconds.,Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,ID,Age.x,Gender.x,Education,Race,Study.About,Speaker.from,From.South,From.Midwest,Kind,Friendly,Intelligent,Wealthy,Professional,Attractive,Would.Be.Friends,Happy,Relatable,Educated,I.Lived.in.South,I.Familiar.South.Speech,I.Friends.South,I.Would.Live.South,I.Like.Southerners.Talk,I.have.Southern.accent,Parents.have.accent,Colleagues.have.accent,I.imitate.accent,Q11_1,Q11_2,Q11_3,Q11_4,Q11_5,Q11_6,Q11_7,Q11_8,Q11_9,Q11_10,Q11_11,Q11_12,Q11_13,Q11_14,Q11_15,Q11_16,Q11_17,Q11_18,Q11_19,Q11_39,Q11_40,Q11_41,Q11_20,Q11_21,Q11_22,Q11_23,Q11_24,Q11_25,Q11_26,Q11_27,Q11_28,Q11_29,Q11_30,Q11_31,Q11_32,Q11_33,Q11_34,Q11_35,Q11_36,Q11_37,Q11_38,Q11_42,Q11_43,Q11_44,Q12_51,Q12_52,Q12_53,Q12_54,Q12_55,Q12_56,Q12_57,Q12_58,Q12_59,Q12_60,Q12_61,Q12_62,Q12_63,Q12_64,Q12_65,Q12_66,Q12_67,Q12_68,Q12_69,Q12_70,Q12_71,Q12_72,Q12_73,Q12_74,Q12_75,Q12_76,Q12_77,Q12_78,Q12_79,Q12_80,Q12_81,Q12_82,Q12_83,Q12_84,Q12_85,Q12_86,Q12_87,Q12_88,Q12_89,Q12_90,Q12_91,Q12_92,Q12_93,Q12_94,Q12_95,Q12_96,Q12_97,Q12_98,Q12_99,Q12_100,Q13.1_1,Q13.1_2,Q13.1_3,Q13.1_4,Q13.1_5,Q13.1_6,Q13.1_7,Q13.1_8,Q13.1_9,Q13.1_10,Q13.1_11,Q13.1_12,Q13.1_13,Q13.1_14,Q13.1_15,Q13.1_16,Q13.1_17,Q13.1_18,Q13.1_19,Q13.1_20,Q13.1_21,Q13.1_22,Q13.1_23,Q13.1_24,Q13.1_25,Q13.1_26,Q13.1_27,Q13.1_28,Q13.1_29,Q13.1_30,Q13.1_31,Q13.1_32,Q13.1_33,Q7,Time,IbexID,Age.y,Gender.y,Dialect,Test,Notes
10852160,43762.64583,43762.65694,IP Address,130.91.74.215,100,953,TRUE,43762.65694,R_1IXkTO7QcZcT1WG,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,10852160,18,Female,High school diploma,Black or African American,Context clues and brain processing,The south or midwest,50,50,41,42,48,30,25,50,37,20,20,20,0,65,60,0,60,0,0,0,30,4,4,5,2,5,2,5,3,1,5,4,1,4,4,5,5,3,1,5,5,1,4,2,3,3,5,4,5,4,5,1,5,2,1,4,5,1,4,1,4,4,1,4,5,1,3,3,2,1,2,2,3,2,2,4,4,4,1,4,4,3,3,3,1,1,1,4,2,1,1,4,2,1,1,1,1,1,1,2,3,2,4,1,3,3,4,3,3,3,2,3,4,3,3,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,,1571945408,7e036d1b2adca60e59f2496a4b598946,18,F,Non-Southern,S2,
23896066,43756.90694,43756.91111,IP Address,165.123.230.13,100,414,TRUE,43756.91111,R_PZYfVfbi6SmvxUB,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,23896066,19,Male,Some college,White,Guessing the word based on how you vary the letters given,america,5,8,82,81,66,58,63,71,63,68,70,79,0,67,34,3,20,5,4,5,39,3,5,2,2,3,4,3,4,2,3,2,2,2,2,2,2,3,4,2,3,3,4,4,2,3,3,2,3,2,2,2,3,2,3,2,2,2,3,4,4,2,3,4,1,1,2,2,2,2,1,2,3,3,1,3,3,1,1,2,2,3,1,3,3,1,1,4,4,1,2,2,3,4,2,2,2,2,1,1,2,2,3,3,2,2,2,2,2,2,4,2,4,3,2,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,,1571449561,70d3adc759376b49ac2a70a1c16b4a3f,19,M,Non-Southern,M1,London/problemsavingfile
37379072,43760.52292,43760.53333,IP Address,130.91.74.215,100,866,TRUE,43760.53333,R_1OZE6aYDpYsZZRH,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,37379072,19,Female,Some college,White,how our pronunciation changes when given clues of different formats,East coast,0,39,45,52,72,46,64,39,40,39,50,81,0,72,61,0,50,0,0,35,63,1,2,5,4,4,4,5,1,1,4,3,1,5,5,5,3,4,1,5,4,5,5,1,1,4,2,1,5,4,5,5,5,5,2,3,2,1,5,5,5,5,5,3,4,2,2,3,3,3,3,1,3,1,3,1,4,3,2,3,4,1,1,3,2,3,3,4,3,1,3,4,4,1,1,4,3,1,3,2,4,2,1,1,3,3,2,4,2,1,4,3,3,3,3,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,1571762020,7e036d1b2adca60e59f2496a4b598946,19,F,Non-Southern,M2,
38469114,43761.61528,43761.62222,IP Address,130.91.74.215,100,579,TRUE,43761.62222,R_25Afni8gCVhIEnT,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,38469114,20,Female,Some college,White,Whether using verbal or written clues helps people come up with words faster,California,29,49,84,84,63,31,31,51,50,51,67,80,0,26,26,40,49,0,0,6,0,5,1,5,4,5,2,1,1,2,5,5,1,5,5,4,5,5,1,5,5,2,5,1,4,5,3,1,5,3,5,4,5,5,2,3,4,1,2,4,4,5,5,4,3,3,1,4,1,3,1,1,4,1,4,3,4,2,4,4,2,2,1,1,2,3,1,2,4,4,1,3,2,4,1,3,4,3,4,3,4,3,3,1,4,1,1,1,4,2,3,4,4,3,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,Nope,1571856372,7e036d1b2adca60e59f2496a4b598946,20,F,Non-Southern,M3,
42274312,43760.60347,43760.61319,IP Address,130.91.74.215,100,869,TRUE,43760.61319,R_2SC6C8Sbeh01wyL,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,42274312,19,Male,Some college,Asian or Pacific Islander,I don't really know. Sometimes the words came easier and other times it was just harder to get. ,"Philadelphia, if not then somewhere on the East Coast ",0,15,72,65,50,50,63,50,64,39,50,50,0,0,0,41,0,0,0,0,65,5,4,3,4,4,3,5,4,5,4,3,4,4,4,4,3,3,3,4,4,3,4,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,4,3,4,3,3,4,2,2,3,3,3,3,3,2,3,2,3,2,3,2,3,2,3,3,3,3,2,1,4,3,1,1,3,2,3,2,2,3,3,3,2,1,3,3,3,3,2,3,2,2,2,3,4,3,2,2,4,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,,1571768959,7e036d1b2adca60e59f2496a4b598946,19,M,Non-Southern,M2,
44773118,43760.55347,43760.56181,IP Address,130.91.74.215,100,731,TRUE,43760.56181,R_3iVyWPVkIxX2a3U,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,44773118,21,Female,Some college,Hispanic or Latino,processing written vs spoken prompts,"somewhere in the US, probably from a coast",0,0,65,65,50,50,85,50,50,80,45,85,55,80,63,20,50,0,0,0,30,4,1,5,2,3,4,5,1,3,5,5,1,5,4,3,4,5,1,4,4,2,5,1,4,2,3,3,4,4,2,3,4,5,4,2,4,3,4,3,5,4,5,2,2,4,2,3,2,1,1,1,3,1,3,4,3,2,3,4,3,2,1,3,2,2,1,3,3,3,1,3,3,4,1,4,3,1,4,1,3,4,4,1,4,2,1,3,4,1,1,4,3,1,4,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,,1571764658,7e036d1b2adca60e59f2496a4b598946,21,F,Non-Southern,M2,
45977231,43762.47917,43762.4875,IP Address,130.91.74.215,100,703,TRUE,43762.4875,R_21ssiKKuSPO61KE,NA,NA,NA,NA,39.95970154,-75.19950104,anonymous,EN,45977231,19,Male,Some college,White,how quickly the brain can respond to things taken in visually/audially and turn it into an audiable responce,the south,85,54,91,88,59,50,39,39,25,51,42,39,0,37,37,25,66,7,8,31,37,4,4,4,2,4,4,4,2,3,2,2,2,4,4,4,1,4,1,2,2,3,4,2,4,3,4,3,4,3,4,2,4,4,4,2,3,2,4,2,4,4,3,2,2,3,3,2,3,3,2,2,2,2,3,3,4,1,4,3,2,2,2,2,2,2,2,2,3,3,2,4,2,2,2,3,3,2,3,1,3,3,4,2,3,2,4,2,3,2,2,4,4,3,3,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,nope,1571931018,7e036d1b2adca60e59f2496a4b598946,19,M,Non-Southern,S1,
5484620efdf99b0379939c6a,43654.85556,43654.8625,IP Address,71.207.10.137,100,624,TRUE,43654.8625,R_3HCtqZ4rkzgiVk4,NA,NA,NA,NA,40.79570007,-77.86180115,anonymous,EN,5484620efdf99b0379939c6a,59,Male,High school diploma,,no idea,USA,0,82,76,76,79,0,99,89,51,61,63,85,0,86,0,0,75,0,0,0,62,4,2,5,1,4,2,5,4,5,4,4,1,5,4,4,3,4,1,2,4,1,4,1,5,4,4,1,5,1,5,1,5,5,5,4,5,1,5,2,NA,5,4,2,1,3,3,3,1,1,1,1,3,1,3,3,2,1,1,4,2,4,1,1,2,1,1,1,1,3,1,3,2,1,2,3,3,1,3,1,3,3,4,1,4,1,2,4,4,2,2,4,4,3,2,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,,1562632342,4707e923e97a1e66baa53d9879b3eac7,59,M,Non-Southern,M2,
5588d532fdf99b304ee567b9,43698.55486,43698.56319,IP Address,74.194.52.84,100,713,TRUE,43698.56319,R_2EdbBjK4SvY9Pm3,NA,NA,NA,NA,33.45100403,-90.65509796,anonymous,EN,5588d532fdf99b304ee567b9,31,Male,Bachelor's degree,White,I guess audio vs visual learning,South,100,50,77,78,69,50,61,60,77,66,66,66,100,100,100,55,50,60,65,70,70,2,2,4,5,3,4,4,3,4,4,1,1,4,4,3,2,4,3,3,4,4,3,3,3,3,2,2,4,2,2,4,4,3,4,3,1,2,4,2,2,3,3,2,2,2,3,3,3,2,2,1,3,3,3,2,2,3,3,2,2,2,2,2,2,2,3,3,3,2,3,3,2,4,2,3,3,2,3,2,3,3,2,2,3,3,2,3,2,2,3,2,2,2,2,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,,1566407966,6b7b361efe439c5a568b3cfb63bf7daa,31,M,Southern,S3,
558aab19fdf99b65685f0142,43653.4375,43653.44097,IP Address,75.187.69.219,100,329,TRUE,43653.44097,R_10TsTKj71kB5l8v,NA,NA,NA,NA,39.51069641,-84.74269867,anonymous,EN,558aab19fdf99b65685f0142,31,Female,Bachelor's degree,,Ability to guess words based on verbal or written work,Indiana,0,96,94,98,89,84,90,90,99,96,91,98,0,78,44,3,73,0,0,0,29,4,1,5,2,4,2,5,2,3,5,4,1,5,2,4,5,5,2,4,4,3,3,2,2,3,2,2,5,2,5,3,4,4,4,5,3,1,5,4,5,1,5,2,4,2,2,3,2,3,3,1,4,2,4,2,3,4,3,3,2,3,1,2,1,1,1,3,1,4,1,3,2,3,2,3,3,2,1,2,3,3,3,2,3,3,1,3,3,1,2,3,4,3,3,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,Best wishes.,1562509817,88091527426742367c36deb9eb8f1728,31,F,Non-Southern,M2,
