word,freq
MY,3.9217
HI,3.777
DIE,3.6682
CRY,3.279
SKY,3.0913
SHY,2.842
RYE,2.149
BYE,3.5408
BRIBE,2.382
RIDE,3.4937
WIDE,2.9926
CIDER,1.699
FRIDAY,3.12456
SLIDE,2.7559
LIME,2.0934
CLIMB,2.80
PRIMATE,1.4472
FIND,3.8858
LINE,3.6571
NINE,3.2945
DINOSAUR,2.0682
VINYL,1.716
SPINE,2.3838
PINT,2.0899
BENIGN,1.699
BEHIND,3.6749
FIVE,3.7165
CHIVE,1.1761
IVY,1.9191
RISE,3.0039
I,3.9229
GUY,3.8192
BUY,3.6322
DRY,3.187
TIE,3.1697
SPY,2.7126
THIGH,2.1847
HIGH,3.6485
TRIBE,2.2856
SIDE,3.6745
BRIDE,2.8055
IDAHO,1.3617
SPIDER,2.365
TIDE,2.4472
RHYME,2.2068
CRIME,3.279
CHIME,1.5911
KIND,3.8644
MINE,3.7346
WINE,3.1816
CHINA,2.8007
RHINO,1.6128
VINE,1.9085
GRIND,2.2227
CANINE,1.8573
BLIND,3.1316
ALIVE,3.5724
HIVE,1.5441
SALIVA,1.9685
WISE,3.0199
WHY,3.9191
TRY,3.8484
LIE,3.5256
FLY,3.3259
PIE,2.8982
FRY,2.5185
SLY,2.0453
EYE,3.5075
FIBER,2.0755
HIDE,3.3709
PRIDE,2.9717
IDOL,2.0128
HYDROGEN,1.9031
DIVIDE,2.3945
DIME,2.6758
PRIME,2.738
MIME,1.5441
MIND,3.837
FINE,3.8535
SIGN,3.5465
MINUS,2.3997
SINUS,1.8573
PINE,2.3263
HIND,1.7559
FELINE,1.5441
TIME,3.9195
DRIVE,3.57
DIVE,2.5198
IVORY,1.8062
SIZE,3.2294
